Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
Xed corrupts files by placing a linebreak at the end of file,924caecd-0de5-4662-a1b5-d657dd83a634,16303732,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,I just figured out that 'cat' (cat (GNU coreutils) 8.27) doesn't  have issues parsing files without ending line breaks.,COMMENT
Xed corrupts files by placing a linebreak at the end of file,1621c608-4e92-4584-af24-d82c23c5b9b6,16303732,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"in the Zealots good ol' emacs its an configurable option(guess we should do the same):  **Require Final Newline**     _Controls whether a final newline is ensured when the file is saved. Hide    The value is an association list that for each language mode specifies    the value to give to &lsquo;require-final-newline&rsquo; at mode initialization;    see that variable for details about the value.  If a language isn&rsquo;t    present on the association list, CC Mode won&rsquo;t touch    &lsquo;require-final-newline&rsquo; in buffers for that language._",COMMENT
Xed corrupts files by placing a linebreak at the end of file,9941812a-3330-45cf-a2d7-6c109eb0bc8a,781030,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"It's not a bug. Xed is a text editor. Text requires there to be a trailing newline at the end of the file, or many parsers will fail. Most text editors are happy to oblige and ensure there's a newline at the end.  If you want to edit binaries, a hex editor would be better suited.",COMMENT
Xed corrupts files by placing a linebreak at the end of file,955abbfe-32a9-46a6-babc-38863edffa8d,6215449,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"@haarp: I strongly disagree.  All line breaks, other than the one forcibly and invisibly added at the end, are editable in gedit/xed. And certainly not 'most' text editors add this extra line break. None of the text editors I've used on Windows do this (Notepad, Notepad++, PNotepad), and even on Linux not all do this either, in fact I used some of these to remove these line-breaks. None of the major IDE's do this either (MS Visual Studio, Netbeans, etc). It is not 'normal' behavior at all.  It is ridiculous to suggest one has to resort to hex editing to remove this line-break, every time one saves a text file. There aren't even any good hex editors for Linux (wxHexEditor is reasonable though, I personally use HexWorkshop running under Wine).  If an 'expert' user is so inclined to require the ending line-break in his files, he can trivially add this himself: it is just one freaking keystroke!! But as long as the line-break is forced on the user, one has to resort to far more time consuming efforts to remove it (hex editing, installing a second text editor). The solution IMO is plain as day: disable this default behavior, perhaps add a preferences option, or simply leave it to user to hit the 'enter key' to manually add the line-break.  I've written a few text editors and complex text parsers myself, and it is absolutely trivial to handle EOF cases. I would not trust any tools that struggle with this. And as dodona2 commented, it appears the issue with 'cat' has been fixed by now anyway, so this lame workaround is no longer needed.  This issue should still be regarded as a bug; it is undocumented behavior, non-intuitive, invisible to the user, non-optional, and can unnoticeably corrupt user data. You just have to google for the tons of issues that users have due to this 'feature'; most of them have no idea their files even have ending line-breaks, because it is intentionally hidden from them. It personally took me weeks to find out that I could not trust gedit to display all characters stored in the file, I was looking for bugs in my own and other software that didn't exist.  By the way, here's the workaround for gedit: https://stackoverflow.com/questions/3056740/gedit-adds-line-at-end-of-file",COMMENT
Xed corrupts files by placing a linebreak at the end of file,de05c48f-b2b1-4c4e-a2a3-f9d3f0d0ac53,781030,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"There is a reason for the trailing newline. It's literally the POSIX standard.  http://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap03.html#tag_03_206  So it should come as no surprise that many parsers have problems when the trailing newline is missing. A line not ending in a newline is not considered a line at all!  It is also part of the ANSI C 1989 standard (section 2.1.1.2) and ISO C 1999 (section 5.1.1.2).   I wasn't suggesting using a hex editor to remove the newline. I was suggesting to use them on binary files, those being the only files where a trailing newline is undesirable.  The matter is not as simple as &quot;one freaking keystroke&quot;. You will tend to forget it, often leaving broken text files in your wake. The mcedit text editor for example has the option of warning the user when he saves a file without a trailing newline.   I am not opposed to making it a setting, but it should not be the default.",COMMENT
Xed corrupts files by placing a linebreak at the end of file,4c30b559-594a-4769-a1f7-474caac0d353,6215449,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"Ok, that sounds fair, and probably explains why this behavior is expected by some tools.  Binary files definitely aren't the only files in which trailing line-breaks aren't needed, in our cross platform project we have thousands of plain text files without them (typically originating from Windows users), and editing by some Linux (Xed/gedit) users adds the new-line, causing confusion with version control.  I concur that it is easy to forget adding the new-line, so a warning would be useful. Making the feature optional IMO is best. I'm willing to live with current behavior as default as compromise, but I do think the new line should *always* be visible in the editor view, as a reminder to the user (perhaps even rendered with a visible glyph).",COMMENT
Xed corrupts files by placing a linebreak at the end of file,d111e82b-6be7-474f-973f-b24de332f26c,781030,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"&gt; but I do think the new line should always be visible in the editor view, as a reminder to the user (perhaps even rendered with a visible glyph)  That would in fact be incorrect behavior. The final newline is the terminator of the last line, not an actual line break. Granted, many tools get confused by this distinction, and the problem isn't new either. See this comment from 2005 for example:  https://slashdot.org/comments.pl?sid=165492&amp;cid=13808398",COMMENT
Xed corrupts files by placing a linebreak at the end of file,da306baf-dd40-4790-9256-cbf828e0b278,6215449,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"Then explain the choice of the CR+LF characters? LF means line-feed: on old typewriters to slide the paper up, literally displaying a new line. Carriage return meant sliding the carriage back, with the caret pointing at the start of that fresh new empty line; ready for you to begin typing. But I guess this begins to expose the inadequacy of the choices of the POSIX standard a bit now...  There's absolutely no distinction between the random line-break anywhere in the file and the last one forced on us. Therefor, the editor should show one empty line at the bottom of the text, same as the others, but which one cannot delete. I have used some editors on windows in the past that did this (I think MSVC5 or VB4/5), it felt 'wrong' as UI behavior (especially because the new-line *wasn't* written to file) but could actually be a reasonable, intuitive solution for this case.  Even better, if the forced line-break is displayed visibly (with this symbol: &crarr;), it is absolutely clear to the user whether the behavior is enabled, and why there's a trailing line-break added to the file. If it is disabled, the editor could display a warning in it's place.",COMMENT
Xed corrupts files by placing a linebreak at the end of file,f988c7fe-6a12-4350-8c64-97f05a92b475,781030,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,I can already hear the lament of users as they try to figure out why there's a symbol they can't delete :P,COMMENT
Xed corrupts files by placing a linebreak at the end of file,c7baf9f1-5e26-4bb9-a988-5f13ca5c59a9,6215449,6215449,2017-12-03T22:51:52.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,23,"Meh. Just display a tooltip with explanation when you hover the mouse pointer over the &crarr; symbol. I would suggest a similar symbol, with a cross through it when the behavior is disabled, with a tooltip explaining how to enable/disable it via Preferences. The symbols could be rendered the same way whitespace characters are visualized in some editors (gray-ish typically, non-selectable of course).",COMMENT
